agent_id,agent_name,UI,UX,Visual Design,Responsive Design,Accessibility,Typography,Animation,Theming,Code Quality,Performance,Data Structures,Component Architecture,State Management,Security,Error Handling,Reusability,Functionality,Form Validation,Navigation,Consistency,Loading States,Empty States,Domain Knowledge,Completeness,Innovation,Maintainability,Testing,Documentation,API Integration,Scalability
admin,admin_Gemini Pro 3.1,9,9,9,9,8,9,8,10,9,9,9,9,8,8,8,9,9,8,9,9,8,8,98,98,8,9,9,8,9,9
admin1,admin1_Osman,6,6,6,7,7,8,5,6,9,4,7,9,9,6,7,9,8,8,9,7,7,6,6,98,8,7,7,8,7,9
0,Deneme_BasicSubAgent,7,6,7,5,5,7,5,8,6,5,5,6,5,5,4,6,6,5,7,7,7,4,5,5,4,5,4,4,5,5
1,001_ms_senior_frontend_dev,7,6,7,6,5,7,5,9,8,6,6,8,7,6,4,8,6,5,7,8,8,3,6,6,5,7,6,5,7,6
2,002_ms_ux_lead,8,7,8,6,4,8,5,9,98,6,98,7,6,98,3,7,6,4,8,8,7,2,7,6,5,98,98,98,98,98
3,003_ms_engineering_manager,7,7,7,6,5,7,5,8,7,6,6,8,7,6,4,8,6,5,7,8,7,3,6,7,5,7,6,5,7,6
4,004_google_staff_ux_eng,8,7,8,6,5,8,5,9,7,6,6,8,7,5,4,8,6,5,8,8,8,3,6,6,5,7,6,5,7,6
5,005_google_senior_sre,6,5,5,5,4,5,4,7,7,6,5,7,6,6,3,6,5,4,6,6,7,2,5,5,4,6,6,5,7,6
6,006_google_design_lead,8,7,8,6,5,8,5,9,5,6,5,6,5,5,4,7,6,4,8,8,7,3,3,4,5,5,4,4,5,5
7,007_apple_senior_ui_eng,8,7,8,6,5,8,4,9,7,6,6,8,7,6,4,8,6,5,8,8,8,3,3,4,5,7,6,5,7,6
8,008_apple_hig_design_lead,8,8,8,6,5,8,4,9,5,5,5,6,5,5,3,6,6,4,8,9,7,3,3,4,5,5,4,4,5,5
9,009_apple_frontend_architect,7,6,7,6,5,7,5,8,8,7,7,9,8,7,4,8,6,5,7,7,8,3,3,5,5,8,7,5,8,7
10,010_meta_senior_product_designer,7,7,7,6,5,7,5,8,5,6,98,6,5,98,3,6,6,4,7,7,7,2,3,4,5,98,98,98,5,98
11,011_meta_staff_frontend_eng,7,6,6,6,5,6,5,8,8,7,6,8,8,6,4,8,6,5,7,7,8,3,3,5,5,7,7,5,7,7
