agent_id,agent_name,has_company,has_department,is_frontend_expert,is_design_expert,is_backend_only,is_non_technical,is_student,is_academic,company_tier,seniority_level,experience_years,prompt_length,prompt_word_count,role_count,context_count,capabilities_count,task_approach_count,rules_count,constraints_count,output_format_count,prompt_avg_point
1,001_deneme_basic,False,False,True,True,False,False,True,False,1.0,1.0,1.0,2.1,2.2,1.0,1.0,4.0,4.6,5.5,5.5,1.0,2.5
1,001_ms_senior_frontend_dev,True,True,True,True,False,False,False,False,10.0,10.0,3.1,6.9,7.2,5.5,7.0,7.0,8.2,7.0,10.0,7.0,7.4
2,002_ms_ux_lead,True,True,True,True,False,False,True,False,10.0,10.0,3.4,6.8,7.2,5.5,7.0,7.0,8.2,7.0,5.5,7.0,7.0
3,003_ms_engineering_manager,True,True,True,True,False,True,False,True,10.0,10.0,4.0,7.0,7.6,5.5,7.0,7.0,8.2,7.0,10.0,7.0,7.5
4,004_google_staff_ux_eng,True,True,True,True,False,False,False,False,10.0,10.0,3.7,7.2,7.5,7.8,7.0,7.0,8.2,7.0,10.0,7.0,7.7
5,005_google_senior_sre,True,True,True,True,False,False,False,False,10.0,7.8,2.8,7.8,8.4,7.8,7.0,7.0,8.2,7.0,5.5,10.0,7.4
6,006_google_design_lead,True,True,True,True,False,False,True,False,10.0,10.0,3.4,4.5,4.7,5.5,7.0,5.5,6.4,5.5,5.5,7.0,6.2
7,007_apple_senior_ui_eng,True,True,True,True,False,False,False,False,10.0,10.0,3.1,4.3,4.3,5.5,7.0,5.5,6.4,5.5,5.5,7.0,6.2
8,008_apple_hig_design_lead,True,True,True,True,False,False,False,False,10.0,10.0,4.0,4.4,4.5,7.8,7.0,5.5,6.4,5.5,5.5,7.0,6.5
9,009_apple_frontend_architect,True,True,True,True,False,False,False,False,10.0,10.0,4.6,4.5,4.3,5.5,7.0,5.5,6.4,5.5,5.5,7.0,6.3
10,010_meta_senior_product_designer,True,True,True,True,False,False,False,False,10.0,7.8,2.8,3.6,3.6,5.5,7.0,5.5,6.4,5.5,5.5,7.0,5.9
11,011_meta_staff_frontend_eng,True,True,True,True,False,False,False,False,10.0,10.0,3.4,3.9,3.7,5.5,7.0,5.5,6.4,5.5,5.5,7.0,6.1
12,012_meta_design_systems_lead,True,True,True,True,False,False,False,True,10.0,10.0,3.1,3.8,3.6,5.5,7.0,5.5,6.4,5.5,5.5,7.0,6.1
13,013_amazon_senior_ux_designer,True,True,True,True,False,False,False,False,10.0,7.8,2.8,3.3,3.5,5.5,7.0,5.5,6.4,5.5,5.5,7.0,5.8
14,014_amazon_frontend_tech_lead,True,True,True,True,False,False,False,False,10.0,10.0,3.7,3.2,3.1,5.5,7.0,5.5,4.6,5.5,5.5,7.0,5.9
15,015_amazon_accessibility_eng,True,True,True,True,False,False,False,False,10.0,10.0,2.5,4.4,4.1,3.2,7.0,5.5,6.4,5.5,5.5,7.0,5.9
16,016_salesforce_senior_lightning_dev,True,True,True,True,False,False,False,False,10.0,10.0,2.8,3.2,2.9,5.5,7.0,5.5,4.6,4.0,5.5,7.0,5.7
