agent_id,agent_name,UI,UX,Visual Design,Responsive Design,Accessibility,Typography,Animation,Theming,Code Quality,Performance,Data Structures,Component Architecture,State Management,Security,Error Handling,Reusability,Functionality,Form Validation,Navigation,Consistency,Loading States,Empty States,Domain Knowledge,Innovation,Maintainability,Testing,Documentation,API Integration,Scalability,ortalama_oznitelik
1,001_ms_senior_frontend_dev,69.1,59.2,69.1,55.5,49.3,60.9,56.9,83.3,65.8,68.3,55.5,65.8,60.9,63.4,39.5,65.8,52.2,46.2,57.6,74.0,78.9,31.7,74.0,46.2,64.8,55.5,46.2,64.8,49.3,59.6
2,002_ms_ux_lead,74.7,65.3,74.7,52.5,37.3,65.9,53.8,78.8,N/A,64.6,N/A,54.4,49.4,N/A,28.0,54.4,49.4,35.0,62.2,70.0,65.3,20.0,81.7,43.8,N/A,N/A,N/A,N/A,N/A,56.2
3,003_ms_engineering_manager,70.0,70.0,70.0,56.2,50.0,61.8,57.7,75.0,58.3,69.2,56.2,66.7,61.8,64.3,40.0,66.7,52.9,46.9,58.3,75.0,70.0,32.1,75.0,46.9,65.6,56.2,46.9,65.6,50.0,59.8
4,004_google_staff_ux_eng,82.1,71.9,82.1,57.8,51.3,72.5,59.2,86.6,59.9,71.1,57.8,68.4,63.4,55.0,41.1,68.4,54.4,48.1,68.4,77.0,82.1,33.0,77.0,48.1,67.4,57.8,48.1,67.4,51.3,63.1
5,005_google_senior_sre,59.2,49.3,49.3,46.2,39.5,43.5,45.5,64.8,57.6,68.3,46.2,57.6,52.2,63.4,29.6,49.3,43.5,37.0,49.3,55.5,69.1,21.1,61.7,37.0,55.5,55.5,46.2,64.8,49.3,50.6
6,006_google_design_lead,66.1,57.9,66.1,46.5,41.3,58.4,47.7,69.8,34.4,57.2,38.8,41.3,36.5,44.3,33.1,48.2,43.8,31.0,55.1,62.0,57.9,26.6,31.0,38.8,38.8,31.0,31.0,38.8,34.4,45.1
7,007_apple_senior_ui_eng,66.1,57.9,66.1,46.5,41.3,58.4,38.2,69.8,48.2,57.2,46.5,55.1,51.1,53.1,33.1,55.1,43.8,38.8,55.1,62.0,66.1,26.6,31.0,38.8,54.2,46.5,38.8,54.2,41.3,49.7
8,008_apple_hig_design_lead,69.3,69.3,69.3,48.8,43.3,61.2,40.0,73.1,36.1,50.0,40.6,43.3,38.2,46.4,26.0,43.3,45.9,32.5,57.8,73.1,60.7,27.9,32.5,40.6,40.6,32.5,32.5,40.6,36.1,46.6
9,009_apple_frontend_architect,58.8,50.4,58.8,47.2,42.0,51.9,48.5,63.0,56.0,67.8,55.1,63.0,59.3,63.0,33.6,56.0,44.5,39.4,49.0,55.1,67.2,27.0,31.5,39.4,63.0,55.1,39.4,63.0,49.0,51.6
10,010_meta_senior_product_designer,55.1,55.1,55.1,44.3,39.3,48.6,45.4,59.0,32.8,54.5,N/A,39.3,34.7,N/A,23.6,39.3,41.6,29.5,45.9,51.6,55.1,16.9,29.5,36.9,N/A,N/A,N/A,36.9,N/A,42.2
